prompt,prompt_len,target
"The girl counted the notes in a businesslike manner, secured them in her handbag, and rose. | The girl had counted the notes before burning them.",32,1
Jon checked his guns and reset the paper capsules of powder and shot at his sides. | Jon was unarmed.,23,1
"Fortunately, the noble silhouette of the Abbaye aux Hommes has survived (best seen from the Place Louis-Guillouard). | You can see the silhouette of the Abbaye aux Hommes from the Place Louis-Guillouard.",49,0
uh so what you've got is a registered pet and not too many people want Bombay's they want things like himmy Persians and Turkish Vans | What you've got is a registered gun who can use to stroke your ego with.,50,1
"The 1992-93 famine lacked the central direction of a genocide, and its victims were not murdered on the basis of race, ethnicity, nationality, or religion. | The 1992-93 was as targeted as a genocide.",55,1
The emperor at Kyoto still seconded by a Fujiwara regent at court legitimized a Minamoto who was himself a military dictator controlled by a Hojo regent. | There never once lived an emperor who ruled at Kyoto.,44,1
"I refuse to go."" | I will not go.",12,0
"Lehman said afterward, I feel an incredible amount of pain. | Lehman asked for medical attention from the crowd.",24,0
you know i mean if it's an absolute need | We don't really need it so you can just throw it away.,28,1
The Government collects these amounts through its power to compel payment. | The government doesn't collect.,21,1
You'll never even leave it. | You won't be able to get away from it.,22,0
 Federal Communications  Service and Auction Rules for the 38. | Federal Communications Service and Auction Rules have never been put into place.,28,1
There was no room for doubt. | There was plenty of doubt and questions. ,18,1
"Another attorney in the office handles domestic violence cases, and still another is on-site at Lewiston District Court every Wednesday to assist an average of 20 people facing eviction who want to speak to a lawyer. | Seven attorneys work with domestic violence cases.",52,1
"As new products with recommendations are released, their recommendations are incorporated into the database. | By adding recommendations to the database as products come out, it become easier to keep track of everything.",38,0
"Reims ' a center of production of the wine of kings ' is also home to the cathedral where kings of France were crowned from the Middle Ages to the early 19th century. | In the past, kings of France were crowned in Reims.",52,0
"The Phoenicians established a trading post at Lisbon around 1200 b.c, calling it either Alis Ubbo or Olissipo. | Olissipo is also referred to as Alis Ubbo.",46,0
and at the same time i i see some colder winters in the Midwest i think they've gotten more snow in the past five years than we're having here on the East Coast | The East Coast has definitely had colder winters and more snow than the Midwest lately.,55,1
Citybuses also go to Shenzhen. | City bus is the most efficient way to get to Shenzhen.,21,0
"The words in the Constitution, high crimes and misdemeanors, give us much latitude. | The Constitution contains many latitudes and longitudes, but not a single word.",35,1
Growing American investment in Japan may soon lead to a confrontation with the Japanese gangs. | Japanese gangs welcome and encourage American investment.,26,1
It can be quantified. | It is countable.,11,0
"Our VBA work was conducted at VBA's regional offices in Los Angeles, CA; Muskogee, OK; and Phoenix, AZ. | The VBA has regional offices in multiple states.",39,0
type books which i have use as reference and have been real handy but purely just for enjoyment i i had a major in English and linguistics and so i have have a lot of books in my home that i can read from the classics and i do enjoy those quite a bit and um so i tend to for reading just day to day uh you know i have a particular book i'm looking for or i just enjoy uh you know the newspaper magazine | I use those books for a reference.,99,0
"! Identifying programs that have developed innovative, best-practice models, pointing the way toward more efficient and effective methods of addressing the legal needs of low income people. | People have developed programs to address the legal needs of low income people.",48,0
so i have to hang these things high so they can't get to them especially the catnip | I don't need to take any precautions towards the placement of the catnip.,39,1
oh yeah you hear a lot about it | You never hear anything about it.,17,1
"Viejo Madrid, the city of the Hapsburgs, covers a small area that extends east from the pitiful Rio Manzanares and magnificent Palacio Real to Puerta del Sol. | The Rio Manzanares looks better than Palacio Real.",48,1
"Elderly people often require legal assistance because of their special health, income and social needs, especially in coping with the government administered benefits on which many depend for income and health care. | Elderly people are even less likely to need legal assistance than most.",51,1
"That analysis notes that the rule was needed in order to reduce regulatory burdens on computer manufacturers, to remove impediments to flexible systems design and construction techniques, and to reduce the potential for interference to radio services by improving the Commission's ability to ensure that personal computers comply with the Commission's standards and testing procedures. | The rule was needed according to the analysis.",73,0
The new conquerors of northern India did not come uninvited. | Northern India's new conquerors came invited.,23,0
"Although most people take the ropeway, the easily negotiable trail leading to the top of 530-m (1,739-ft) Mt. Misen is an invigorating hike. | Everybody use the trail at Mt. Misen because it's easy.",59,1
"In addition, GAO expects that it will have access to the agency's facilities and other relevant locations. | The agency's facilities are located in Baltimore and Los Angeles.",36,0
Table 1. Benchmark Emission Levels and Assumed Emission Caps | Table one shows the water levels.,21,1
how does she get to work | I don't know how she got to work.,19,0
"Few will remember, or perhaps even care, thatthe Italian-themed Venetian (complete with Colorado-fed canals) is built upon the site of the Rat Pack's most famous haunt, the Sands Hotel-Casino. | The Venetian is mostly known for its canals.",55,0
"In any case, we need no protection. | We wan't protection very badly. ",20,1
oh gosh that's hard to say  it's um used to be a big Twin Peaks fan but they've made me mad so i haven't watched them in a while in a while | I really like films by David Lynch as well.,53,0
talk about the activities that we don't do  uh | is there anything at all that we aren't doing or trying?,28,1
United won its second Major League Soccer championship. | A second Major League Soccer championship was on by United.,22,0
"Spot enforcement, well-publicized with blue flashing lights, is what maintains speed limits on the highway. | The best way to slow people down is to put cops on the rode.",39,0
trying to think where's the warmest the warm lines start i guess probably if you're drawing a line across a map of the country put the middle of your ruler on Dallas | The warmest line in the country would be going across Dallas. ,51,0
"It was, to my mind, a very fair and equitable distribution."" Poirot nodded thoughtfully.  | Poirot shook his head, ""The distribution was not fair at all.""",37,1
or to put their child into a setting into a home setting where they would you know like they they would get leave at eight in the morning and and drop a two year old off in a home where you knew there were going to be four other kids and | It's not a good home life to have to have to be put in another house all day with a bunch of other kids.,80,0
"Mintz seems puzzled, musing that it wasn't as though he'd said America had no literature. | Mintz was furious and said America had no literature.",36,1
"OMB's 1996 revision of Circular A-130, Appendix III, recognizes that federal agencies have had difficulty in performing effective risk assessments--expending resources on complex assessments of specific risks with limited tangible benefits in terms of improved security. | Nobody has yet recognized that federal agencies have had difficulty in performing effective risk assessments, and the money wasting goes on.",77,1
"In a league where head coaches delegate everything to assistants, Parcells makes a policy of trying to talk to every player every day. | Parcells refuses to talk to any of his players every day.",41,1
"it that can help but you just get to a point where they're just not productive anymore | At a point, they're just not productive anymore",32,0
"Our October 2000 legislation gave us additional tools  realign our workforce in light of mission needs and overall budgetary constraints; correct skills imbalances; and reduce high-grade, managerial, or supervisory positions without reducing the overall number of GAO employees. | There was no legislation in October 2000.",65,1
"The stout-limbed can follow his example, and start by climbing the 300-odd stairs to the platform just below the steeple for a fine view over the city. | If you have strong legs you can climb up the 300 steps to the platform to get a great view of the city.",66,0
Are you going to poison me? she asked in a whisper. | She questioned quietly if he was going to poison her.,26,0
"Haifa's most famous attraction is the splendid golden-domed Baha'i Shrine and Gardens (entrance on Zionism Avenue; Shrine open daily 9:00 a.m. to noon, gardens open daily 8:00 a.m to 5:00 p.m. ), the international headquarters of the 4-million-strong Baha'i faith, which was founded by the Persian holy man, Baha'u'llah (who died in 1892). | Haifa is most famous for its ancient ruins, which encircle the city.",122,1
"Together, these organizations fought for local rule, which in 1944 resulted in universal voting rights for adults. | Universal voting rights for all adults were granted in 1944 due to these organizations.",45,0
It's a good mirror to their own puffed-up souls. | They think they are the most superior architects in the city.,28,0
"All roads into Edo, the most famous being the Tokaido Highway, had checkpoints for guns coming in and for wives going out. | Checkpoints were created on all roads leading to Edo.",40,0
"Heald said, We used to have almost all of our funding from four sources, general unrestricted funds. | Heald said that most of the funding used to come from four sources.",38,0
(Watch previews and join The Odyssey chat on NBC's site.) | Look at previews on NBC's site upon registration.,27,0
oh okay that's that's an interesting thing so uh yeah that the only way that would be a disadvantage if the other guy's got a gun and fires when he sees his and it's on it's on the first shot uh i think that uh uh | We would be in a much better position if he had a gun.,72,1
"In the latter case, Centrelink provides these employers with materials to distribute to existing and new employees who are receiving benefits from Centrelink. | In the former case, Centerlink provides employers with materials to distribute among employees who receive benefits from Centrelink.",51,1
SAFE Shelter executive director Gail Reese-Wheeler vividly recalls her first encounter with Jim Lindsay's indomitable spirit. | Gail Reese-Wheeler founded SAFE Shelter in 1993.,39,0
"Fifth, put your money where your mouth is. | Placing money on matches is illegal in most countries.",22,0
"The golden-brown result is dusted with sugar, sometimes coated with chocolate sauce, or both. | The food is covered with chili powder, sometimes coated with gasoline, or both. ",38,1
"It is familiar."" Tommy came forward eagerly. | Tommy was happy he recognized it.",18,0
"Edlin, working his wheat farm, hailed Ca'daan. | Edlin ignored Ca'daan.",22,1
"These costs will be borne by manufacturers ($78 to $91 million in one-time costs and $2 million in annual costs), retail establishments ($96 million in one-time costs and $78 million in annual costs), FDA ($3 to $5 million in enforcement costs per year) and State governments ($25 to $50 million per year in administering various SAMHSA enforcement programs). | The costs consist mostly of donuts for coworkers in the office.",96,0
"We are simply asking for facts that the Vice President, as Chair of the NEPDG, or others representing the group, would be in a position to provide to GAO. | The Vice President had a large amount of resources to give GAO.",50,0
huh yeah it was like the best of the Walt Disney ones Walt Disney's kind of gotten worse in my opinion in the past few years | Walk Disney was the worst one out of all of them.,42,1
No less than John Updike (in The New Yorker 's fiction issue) proclaims the screenwriter-architect's first novel a Tiger Woodsian debut. | The screenwriter-architect has written several other articles before he wrote this one. ,49,1
"But ropes are a major cause of death and injury in  Fighters hyperextend their necks when they are punched against the ropes, because nothing stops their heads from snapping back. | Fighters are not well protected by the wrestling industry and often obtain head injuries, back injuries and neck injuries through-out the course of their career. ",69,0
yeah from what i've read most people in the United States do do some type of volunteer work at some time in their lives | Over 75% of adults have done volunteer work in the past. ,44,0
"Yes, sir. Tommy smoothed out the note thoughtfully. | The note was a doodle of Tommy riding a space ship.",25,0
and if you do that this is going to be the consequence but it you couldn't do that even through the state even the mother it wasn't through the state but even though um the mother really would given approval but because of the situation we just didn't think it was wisdom you know you go in a restaurant and they start spitting their food out at the table now come on but you know you couldn't do really a lot because of the state's control so that's that's a good idea there too i like that but | The state makes it very easy to do things.,124,1
In 1997 payment mail was 7.5 billion pieces or 30. | In 1997 payment mail was under 1 billion pieces.,37,1
Bernstein noted that alcohol-dependent patients clearly need specialized treatment and that some patients with hazardous drinking need out-patient counseling. | Bernstein's opinion was that alcohol dependency made the need for out-patient counseling all the more acute.,48,0
"1) Krugman claims that my opening sentence--In a way, Bill Gates's current troubles with the Justice Department grew out of an economics seminar that took place thirteen years ago, at Harvard's John F. Kennedy School of Government--is pure fiction. | Krugman has whipped up some evidence against my opening sentence.",67,0
But low interest rates and a sagging economy mean there is less money being generated. | High interest rates mean there is less money being generated.,29,1
The landscape of Italy's eastern Alps is a mixture of rich green Alpine meadows with jag?­ged white limestone and rosecolored granite peaks. | There are some blue peaks in the Alps.,40,0
North of the River | South of the River.,11,1
"One of those shoes was lifting, as if the man meant to step on the egg. | There was a shoe that was rising above the ground.",31,0
Nothing? said Tuppence blankly. | Tuppence was happy there was a plan.,21,1
The road winds westward to at least two memorable lookout points looking back at the village from the main road. | The road winds straight south where it leads to a beach.,35,1
yes and i think that does make a difference because when you do have to be in front of people uh i think you the the tendency there is to wear dresses and suits and and uh more classical style of clothing | You don't care what people think about you.,55,1
well that's a good way to look at it | Well that's broaching the topic with positivism..,25,0
"Although monitoring, in itself, may encourage compliance with information security policies, the full benefits of monitoring are not achieved unless results are used to improve the security program. | The results need to be used in order to improve the security program.",48,0
i i i was amazed too i was really i was really um proud of them though that they stayed out of it but | They wanted to fight.,31,0
The precedent-setting risk would be greater if the president were convicted by a strictly party-line vote. | There would be more risk if the party voted all in favor of conviction.,38,0
She came in to-day. | She was absent today.,14,1
oh the campsites were uh not perfect but they were you know basic rail road ties and laid in sand so it wasn't just the actual terrain and it had a somewhat level and it had a place to stick your tent and some | The campsites were laid in sand.,55,0
Both are now officially protected. | They are both unprotected.,13,1
yeah i have no idea i don't have the foggiest notion what it is about | I don't remember clearly what it is about.,32,0
"With an aging population and a slowly growing workforce, saving more today and increasing the nation's future economic capacity is critical to ensuring retirement security in the 21st century. | Retirement security is best gained by saving today.",47,0
"yes yeah yeah it is and i find that uh | No, it isn't.",19,1
"Time 's Lance Morrow says Clinton constantly pushes the envelope to see what he can get away with, like a 2-year-old who tests the limits of his independence by toddling off. | Lance Morrow regards Clinton as acting immaturely.",51,0
"A very enjoyable nature day identifying plants and flowers, dipping toes into the refreshing irrigation canals, cooling off in tunnels, having a picnic on a hillside can be had at any of the levada paths highlighted in this book. | You can go to this book's levada paths to try your hand at some plant spotting, dip your toes in the canal, or have a nice picnic.",79,0
He does not recognize quid pro quo politics. | He is an expert on quid pro quo politics.,21,1
 The egg tilted and soared. | The egg was at a stand-still.,17,1
"Others say that the original name for the falls was the  Wyaess,  which is said to mean  winding.   | Wyaess was the original name and it meant butterscotch pudding.",42,1
"This last category has led some to accuse the straight nonfiction list of being a useful fiction, designed to give publicity to books that would otherwise fail. | The last category led to some accusing straight nonfiction list of being a useful fiction which was designed to give publicity to books that wouldn't succeed because of their topics.",64,0
"Thanks awfully, sir. | No thank you, ma'am.",15,1
"The island's capital, with almost 3 million inhabitants, is one of the most intoxicating cities in the world. | There are 5 million inhabitants in the island's capital.",39,1
plus a lot more you know and you got to realize that there's only this much money in the bank and if you're going to live you know | There is not an unlimited supply of money in the bank.,46,0
I unfolded my map. | I refolded the map.,14,1
It provides that the Comptroller General shall evaluate the results of a program or activity the Government carries out under existing law. | The Comptroller General controls the Government's actions.,35,0
"The number of Arawak had already fallen dramatically, so the Spanish began to import slaves from Africa to work the land; the first Africans arrived in 1517. | The Spanish had plenty of Arawak to use as slaves.",51,1
"Current payers-in are financing current payers-out, not their own retirements. | Retirement is the only thing payers-in care about financing.",31,1
yeah and it was it i was um keenly aware of the the the danger in my area um my roommate was attacked and she got away unharmed but scared to pieces and had had all of her clothing ripped off of her um and then i had another friend that was also approached and got away and this was in broad daylight both times so i was keenly aware of the danger in those areas but i didn't i guess i didn't feel like i was competent enough with any kind of weapon to to carry one or to feel like carrying one would be a benefit to me rather than just having them take it  you know i mean that's i that's that's truly how i felt i felt like if i were carrying something and if i actually pulled it on somebody that was trying to attack me that their chances of getting it from me would be higher than my chances of using it effectively on them | I thought my area was very safe.,192,1
"This was the period when nautical marauders variously called buccaneers, corsairs, privateers, and pirates stalked the shipways and bays of the Caribbean. | Pirates looked for plunder outside the Caribbean.",42,0
"The editorial said it was encouraging that the Vatican considers exorcism worthy of modernisation, adding, It is reassuring to discover that the Vatican has not dropped its guard. | The Vatican things exorcism should be updated.",43,0
A huge number of fairs and festivals take place throughout the year. | There are very few fairs and festivals during the year.,26,1
"The stretch of Wilshire between La Brea and Fairfax avenues, known as the Mid-Wilshire district or Miracle Mile, is slowly being restored after years of neglect. | The area known as Mid-Wilshire district or Miracle Mile is under renovation after years of abandonment.",56,0
"The original minaret on the southwest corner is the tallest in Cairo at 81 m (265 ft). | The minaret is 265ft, making it the tallest in Cairo",42,0
It's that he knows what it's like to walk the high wire and bomb. | He has been walking on high wires since he was 2.,34,0
yeah i mean they they went for an entire season with this and i'm sure you heard about it all these things | They didn't go with it for an entire season.,38,1
You saved my life--or something. | You almost got me killed back there.,18,1
yeah yeah it's scary | I find this to be rather pleasant.,16,1
Many beaches also have water rides in which you sit on or in a rubber shape and are pulled along behind a speed boat. | Lots of beaches have rides where you can be pulled on something behind a speed boat. ,45,0
Miraculously the cathedral escaped unharmed from the heavy air raids of World War II. | The cathedral was a sad example of collateral damage during World War II.,32,1
well i think basically they can't figure out what they want down there | They know what they want down there.,25,1
"Khaki shirt, khaki breeches, a wide, webbed belt, a flat-brimmed hat. | All the clothes he was wearing were brand new.",34,0
"If you'd like to see how the Japanese handle Western-style popular music and dancing, you'll find good quality jazz clubs, conventional discos (with, naturally, fantastic electronic equipment), and even country-and-western saloons, all in Tokyo's cosmopolitan restaurant districts of Akasaka and Roppongi. | There aren't any good jazz clubs in Akasaka.",81,1
You'll need to walk down a long steep corridor to reach it. | It's very difficult to walk down the corridor because of how steep it is.,34,0
i i read an article one time talking about even the quote unquote realistic movies don't have very realistic effects of the violence the violence can seem very realistic but the aftermath is usually not there | I once read that realistic movies almost never show the results of violence.,55,0
"He's slightly frailer and less focused than he used to be, and his answers wander away from the studio audience's questions. | He used to be much more focused and strong.",40,0
The rest was about to get much worse and much less popular. | The rest had not yet hit rock bottom. ,25,0
is i don't know if they're Annie Hall glasses or not i just i don't know i always think of Annie Hall when i see them but | They are Annie Hall glasses.,41,0
"The Kal stood a head taller than Adrin, thicker, and clearly stronger. | The Kal was taller and stronger.",25,0
"Another part of the answer--one that Kindleberger suggested two decades ago--is that to introduce global financial markets into a world of merely national monetary authorities is, in a very real sense, to walk a tightrope without a net. | It had been suggested by Kindelberger twenty years ago. ",62,0
"But these actors also convey the sense of an internal furnace of pain and anxiety that gives fevered glow to such minutiae (Ben Brantley, the New York Times ). However, the play itself is found wanting. | Many critics are praising the emotional honesty of the play's cast, but have harsh words for the play's writer and director.",72,0
Choose your own fish from the display and find out how much it will cost before having it cooked. | Only one choice of fish is on display and they won't tell you the price before cooking it yourself.,44,1
Good heavens! I said it quite quietly.  | Good heavens! I screamed.,18,1
it takes a couple of hours off the day | It adds a few hours to the already long day.,22,1
"Columbia/HCA , the country's biggest medical provider, is becoming the poster boy of corporate health-care greed. | Columbia/HCA is not becoming the poster boy of corporate health-care greed.",44,1
"Founded by Alexander the Great on the Mediterranean coast in 322 b.c. , Alexandria was capital of Egypt during the Ptolemaic era. | Alexandria was the capital of Egypt in the Ptolemaic era, after it was founded by Alexander the Great in 322 b.c. on the Mediterranean coast.",66,0
Ca'daan was speechless and Jon didn't wait for a reply. | Ca'daan kept talking.,23,1
"All represent different, often contradictory, facets of the greater whole that is Japan one of the world's most intriguing countries. | Japan is intriguing and often contradictory.",34,0
"This means that for each additional dollar of government saving, aggregate private saving falls by less than a dollar. | As the government saves more, private savings fall.",33,0
"In a type-1 worksharing situation, the mailer or competitor would sort the mail in essentially the same way that the postal service would sort the mail. | The mailer would be more efficient than the postal service in a type-1 worksharing situation.",56,0
"These companies made their mark selling sturdy commodities like chamois cloth shirts and field boots that are easy to keep in stock because the demand for them is stable from year to year. | Consistent items, like chamois cloth shirts and field boots, helped the companies to make their mark.",57,0
"However, old sections of the town survive in the winding alleys of the medieval and Moorish district, known as the Alfama. | Some sections of the town in Alfama are 800 years old!",44,0
"Ca'daan glanced up and saw Susan's face, round and smooth, with her red hair spilling out of the sides of her hood. | Ca'daan thought Susan was beautiful.",39,0
"i think that and also to get totally off crawfish the subject of crawfish lots of vegetables and hors d'oeuvres and stuff like that for a dinner party i think that that really helps | Getting off the subject of crawfish, have a lot of veggies and hor d'oeuvres to serve at first will really help.",68,0
"In fact, it may well be that News Corp., which is building a national competitor to ESPN by stringing together a series of local sports networks, is more likely to work for the best interests of the game as a whole. | News Corp has no intentions of purchasing any sports networks.",59,1
Several special rail cards include reduced rates for car rentals and even bicycle rentals. | Special rail cards don't provide any route towards renting cars and especially not bicycles.,34,1
"It wasn't until a.d. 330, however, when the newly converted Emperor Constantine made Byzantium, renamed Constantinople, capital of his Eastern Empire that Christianity was assured of its dominant role in future Greek life. | Constantine rejected Christianity, and refused to rename the city of Byzantium despite public pressure.",64,1
"However, perhaps the most significant influence on these changes is advancing technology and the increased use of automation. | Automation and technology have no influence over the changes made. ",34,1
The women were laughing and Czarek said: | The girls were sitting at the dinner table laughing when Czarek said:,27,0
"He and his followers conducted a successful series of bloody raids on Spanish settlements in the Caribbean, culminating in the sacking of Panama, the major city of the Spanish Main. | The Spanish settlements in the Caribbean were poorly defended and were easy prey for pirates.",52,0
oh yeah i've i knew people who did it years ago but they they were very apologetic about it because you could tell they were used to people kind of going what are you doing that for you know | I knew people years ago that were very apologetic about doing that sort of thing.,61,0
i wonder what he'd do if he ever got a hold of him though | I don't wonder at all about what he would do if he met him again.,36,1
"Therefore, lawyers are part of the prescription for regular medical care for many of the 600,000 Oklahomans age 60 and older. | There are no Oklahomans prescribed to regular medical care.",48,1
"If they had made him a mandrake-man, then by what little he could remember and guess, they could make him obey them. | They could make him turn on his friends if they'd made him a mandrake-man.",50,0
"According to the Enquirer , John Clark, who has been married to Redgrave for more than 30 years, fathered a child eight years ago by his personal assistant. | John Clark was only married to Redgrave for 3 years. ",52,1
The scars of the whip were still fresh on my back. | The wounds were still open.,20,0
"Social Science Research Council Bulletin, 60 (1949). | The bulletin was published in the year 1949.",30,0
"Yeah, Pa, he got 'em in the Mexican War, an' me, I wore 'em mostly through this past ruckus. | He was in the Mexican War.",37,0
"We seem to believe that all human action is motivated not by the desire to know or improve the lot of humankind, but only by the basest motives of greed, power, and self-aggrandizement. | All human action is not motivated by desire to know or improve mankind, instead it is the driven by base motives which cause us to act irrationally. ",77,0
"The old western was almost always a tale of a courageous loner imposing order on lawlessness, as in the Wayne films and Shane (1953). | The old western was almost always a tale of a courageous loner and a cat which is not usually spoken about",56,0
This would have strengthened the bonds of lonely and frightened young fighters and stirred their blood before action. | The fighters were very old.,27,1
"A similar explanation was offered, but privately, to some in the press who were aware of President Kennedy's sexual conduct. | President Kennedy has never made sexual advances before.",36,1
5 million represents the establishment of design controls for new products. | There are design controls for new products.,22,0
Buses from the city center will carry you here in minutes. | This place is accessible via buses from the city centre.,25,0
"Not that she disbelieved in Tommy, but occasionally she was shaken with doubts as to whether anyone so simple and honest as he was could ever be a match for the fiendish subtlety of the arch-criminal. | She knew how the arch-criminal was well trained for this, and how Tommy wasn't.",65,0
"However, few studies of physician-delivered interventions in an emergency setting exist. | There hasn't been much research on ER interventions.",28,0
"And while we allow people to give a kidney to their child, we do not allow them to donate their heart. | People are allowrd to donate a kidney to their child, but not their heart. ",43,0
"He poured some more, because he had spilled before, and now he spilled again, and then he had enough and went behind the mixing vat to recline for a while and forget about his 83 kilograMs.  He was stirred to life by the drone of the secretary's voice: | He was very careful and didn't spill a drop.",75,1
I love Jimmy Carter. | I do not know who Jimmy Carter is.,16,1
Two old galpals swap the latest word. | Two old friends hate conversing with each other.,21,1
between here and west Texas there was probably three and four hours at sixty five miles an hour | It probably takes 3-4 hours from here to west Texas.,34,0
"nice talking to you too well i appreciate it and and good luck with your uh your future your hopes of buy a Winnebago | Nice talking to you on the phone, I know you want a Winnebago since you were a teenager so I hope you can finally buy it.",56,0
"Whatever you call it, Saint-Martin as the French do, or Sint Maarten with the Dutch, it is part of both the French West Indies and the Netherlands' Antilles. | Once a part of the French West Indies, it is only a part of the Netherlands' Antilles now.",58,1
The greatest labor requirement occurs for FGD on a single unit (i.e. | FGD is a labor requirement for farm workers.,29,0
well and that always is helpful for starters you know you have to have something that kind of gets you on the right track of where you're going | That doesn't help at all.,40,1
"It might have been, sir. | Maybe so, sir.",14,0
"Because many different packages are available, and because more than one can be used, auditors should determine what models, if any, are used in their agencies. | Auditors have the option of choosing a model to use.",44,0
"While every year brings a new round of partisan battles in Washington over the tax code, the EITC program is one proposal that satisfies a broad cross-section of the political spectrum. | The proposal of the EITC program satisfies a broad section of the political spectrum, said the news.",58,0
that's that's uh that's going to be good and interesting for the kids even even cartoons um you you know you  you watch uh you watch some of the cartoons and | The kids will enjoy the cartoons.,47,0
Ask around and find out where Spaniards and resident expatriates eat. | Keep to yourself and don't ask around about restaurants.,27,1
VBA incorporated these measures in the performance appraisals for senior executives in its regional offices where the majority of senior executives are located. | The majority of senior executives are in its regional offices. ,39,0
"Thank you, said Dr. Wilkins briskly.  | Wilkins didn't say a word.",20,1
and transmit it just like a view foil | It is naturally able to be sent easily.,19,0
Others infer that he's already mounting a brilliantly oblique attack on Gore. | The attack on Gore that people are guessing about will be blunt.,30,1
and that that that's the way it would be you know it's like | There is no other way for it to be.,29,0
in fact they were they out drew the Cowboys there for quite a while | I am a fan of the Cowboys.,24,0
"Above all, it seems implausible that the proposed solution to such severe difficulties could involve so little pain. | It seems impossible that a solution with many difficulties can involve little pain. ",39,0
  In the past there must have been intriguing opportunities to buy up Ibicenco antiques and ship them home. | Buying Ibicenco antiques results in a huge profits when sold at home.,39,0
"That would, in effect, penalize companies for efficiency and productivity. | That would penalize companies for being slow.",25,1
"It was rather inexplicable, but I supposed that, for some reason or other, Japp wished to keep it out of the papers.  | Japp was probably laying some sort of trap for catching the murderer. ",45,0
"When the mayor proposed a one-cent sales tax to shore up Little Rock's frayed budget, the city revolted. | The city did not want to pay an extra sales tax.",39,0
"In the preamble to the final rule, the actions taken on the comments received are discussed, including raising the level of foreign ownership that requires prior notification from 10 percent to greater than 25 percent. | Actions taken on the comments received are discussed with great passion.",56,0
"A fine horse, senor. Oliveri came on in, now including Drew in his gaze. | Oliveri came in looking at Drew and said, ""The rider is very fine too.""",40,0
"But while that might explain the mystery of magic working here, it doesn't explain your sky.  Bork scratched his head. | The sky was broken to pieces. ",37,0
"Yes, board members have a fiduciary responsibility to the shareholders that they represent. | The board members have no responsibilities to anyone.",27,1
well yeah there's a lot of people that um you know don't work | There's a lot of people that don't work.,32,0
"um i try to ride the stationary bicycle everyday about five miles | I hate spinning, so I never do it.",24,1
"Within a few years Port Royal, the town surrounding the fort, earned a reputation as the most raucous and debauched city in the Caribbean. | Port Royal is one of the most highly regarded cities in the Caribbean.",46,1
"Saving now is vital because expanding the nation's productive capacity through national saving and investment is a long-term process. | Saving now is vital, as it expands the nation's productive capacity through national saving and investment and this is a long-term process.",54,0
and in the summer same thing we get our extension cords running from all these tents but we've got the fans going | We don't use any fans nor do we have any extension cords.,41,1
and then the last Civil War battle was fought at Val Verde you know over there on the Texas border you had a lot of of groups heading for Mexico and they were cut off at the pass more or less at Eagle Pass and they didn't get across the river there so they're the last and that was actually after the war was over but it was the last | The last battle of the Civil War was fought near the California border.,90,1
"This acquisition guide is intended for use in reviewing any information technology acquisition, regardless of the system development methodology being used. | The system methodology is part of the processing.",34,0
 Senor Juanito said that. | Juanito didn't say a word.,18,1
There is a shrine and monument in your world. | There is nothing on your world.,19,1
"Only VDV now, and I won't be able to watch my beloved 'Long Time Ago on Earth' anymore.' | I wont' be able to see my old show.",38,0
Graves hid out in the deep woods. | Graves hid in open sight.,16,1
One of the many pleasant surprises in India is the way that its classical music heard perhaps in snatches back in the West and often dismissed as something hopelessly beyond an ordinary Westerner's appreciation grows on you when you hear it in the country of its creation. | A person who stays in India will not develop any appreciation for Indian classical music.,70,1
In a minute Tommy had slipped out and pulled to the door. | Tommy slipped out and pulled to the door to open it.,27,0
China policy means that this cannot be guaranteed. | This is guaranteed by the China policy. ,20,1
yeah uh it's tempting it's got to be it's got be horribly tempting for those for those | I do not find it worth going after.,34,1
"In addition, it is estimated that there will be a reduction in Medicaid program outlays of $590 million during that period. | The estimated reduction in Medicaid program outlays of $590 million is considered a conservative estimate.",49,0
'I think I'm going to try and find the bathroom.' | I'm going to look for the library card. ,28,1
"The PKK has murdered Turks who teach Kurdish children, Kurds who side with the Turks, and thousands of Turkish soldiers. | No Turks have been murdered by PKK.",33,1
FY 2000 Adjusted to Reflect Terminal Dues System Based on Domestic Postage | Terminal dues were increased by 10 cents to reflect the postage rate changes.,34,0
The Project adopted six guiding principles. | The project didn't adopt any principles.,18,1
Now no joy but lacks saltThat is not dashed with painAnd weariness and fault | Everyone is very joyful.,23,1
"The original late-14th-century pavilion, completely covered in gold leaf, was typical of the unrestrained opulence of the Muromachi period favored by Shogun Yoshimitsu Ashikaga, who had it built for his retirement at the ripe old age of 38. | Shogun Yoshimitsu Ashikaga didn't retire until he was past 60.",78,1
"Either way, you've got a legitimate gripe. | You will have a gripe whether you go or stay.",24,0
"From the dock it is a short taxi or bus ride, or a 20-minute walk, tSevila Baleira (sometimes referred to as Porto Santo Town), the island's only settlement of notable size. | The distance from the docks to Porto Santo is walkable.",59,0
"Doctor Edward sincerely avoided her, and even more sincerely he wished she would trip up on the loyalistic-algebraic theory of Himko-Rybson. | Edward stayed away from his wife.",40,0
In front of the house was a baker's van. | The baker's van is at the baker's shop.,27,1
house that we bought so i'm not doesn't seem like it um i mean i know so much has changed in their technology in the last few years | Their technology has been changed greatly in the past few years.,46,0
Audit Steps 1. Determine whether the solicitation document  | Step 1 of the Audit - Ignore the request entirely ,25,1
